Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
International Arab Journal of Information Technology,INT ARAB J INF TECHN,1683-3198,0.065,Not Available,Artificial Intelligence,2010
Traitement du Signal,TRAIT SIGNAL,0765-0019,0.078,Not Available,Artificial Intelligence,2010
INTELLIGENT AUTOMATION AND SOFT COMPUTING,INTELL AUTOM SOFT CO,1079-8587,0.187,0.239,Artificial Intelligence,2010
JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,J COMPUT SYS SC INT+,1064-2307,0.191,0.182,Artificial Intelligence,2010
INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,INT J SOFTW ENG KNOW,0218-1940,0.248,0.313,Artificial Intelligence,2010
Turkish Journal of Electrical Engineering and Computer Sciences,TURK J ELECTR ENG CO,1300-0632,0.286,Not Available,Artificial Intelligence,2010
International Journal on Artificial Intelligence Tools,INT J ARTIF INTELL T,0218-2130,0.330,0.557,Artificial Intelligence,2010
JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING,J MULT-VALUED LOG S,1542-3980,0.333,0.439,Artificial Intelligence,2010
COMPUTING AND INFORMATICS,COMPUT INFORM,1335-9150,0.356,0.348,Artificial Intelligence,2010
Malaysian Journal of Computer Science,MALAYS J COMPUT SCI,0127-9084,0.364,Not Available,Artificial Intelligence,2010
Intelligent Data Analysis,INTELL DATA ANAL,1088-467X,0.412,0.613,Artificial Intelligence,2010
ARTIFICIAL INTELLIGENCE REVIEW,ARTIF INTELL REV,0269-2821,0.429,0.572,Artificial Intelligence,2010
ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE,ANN MATH ARTIF INTEL,1012-2443,0.430,0.594,Artificial Intelligence,2010
IET Computer Vision,IET COMPUT VIS,1751-9632,0.447,0.740,Artificial Intelligence,2010
Neural Network World,NEURAL NETW WORLD,1210-0552,0.511,0.449,Artificial Intelligence,2010
AI MAGAZINE,AI MAG,0738-4602,0.525,0.873,Artificial Intelligence,2010
APPLIED ARTIFICIAL INTELLIGENCE,APPL ARTIF INTELL,0883-9514,0.563,0.616,Artificial Intelligence,2010
NEURAL COMPUTING & APPLICATIONS,NEURAL COMPUT APPL,0941-0643,0.563,0.682,Artificial Intelligence,2010
MINDS AND MACHINES,MIND MACH,0924-6495,0.618,0.641,Artificial Intelligence,2010
Information Technology and Control,INF TECHNOL CONTROL,1392-124X,0.638,Not Available,Artificial Intelligence,2010
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,AI EDAM,0890-0604,0.640,1.035,Artificial Intelligence,2010
JOURNAL OF INTELLIGENT & FUZZY SYSTEMS,J INTELL FUZZY SYST,1064-1246,0.648,0.690,Artificial Intelligence,2010
JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE,J EXP THEOR ARTIF IN,0952-813X,0.655,0.581,Artificial Intelligence,2010
INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,INT J PATTERN RECOGN,0218-0014,0.685,0.670,Artificial Intelligence,2010
Advances in Electrical and Computer Engineering,ADV ELECTR COMPUT EN,1582-7445,0.700,Not Available,Artificial Intelligence,2010
Fuzzy Optimization and Decision Making,FUZZY OPTIM DECIS MA,1568-4539,0.702,Not Available,Artificial Intelligence,2010
COMPUTATIONAL INTELLIGENCE,COMPUT INTELL-US,0824-7935,0.704,0.854,Artificial Intelligence,2010
EXPERT SYSTEMS,EXPERT SYST,0266-4720,0.733,0.883,Artificial Intelligence,2010
JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,J INTELL ROBOT SYST,0921-0296,0.757,0.884,Artificial Intelligence,2010
International Journal of Applied Mathematics and Computer Science,INT J AP MAT COM-POL,1641-876X,0.794,Not Available,Artificial Intelligence,2010
AI COMMUNICATIONS,AI COMMUN,0921-7126,0.837,0.824,Artificial Intelligence,2010
INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS,INT J UNCERTAIN FUZZ,0218-4885,0.850,0.918,Artificial Intelligence,2010
JOURNAL OF INTELLIGENT INFORMATION SYSTEMS,J INTELL INF SYST,0925-9902,0.875,0.927,Artificial Intelligence,2010
APPLIED INTELLIGENCE,APPL INTELL,0924-669X,0.893,1.243,Artificial Intelligence,2010
MECHATRONICS,MECHATRONICS,0957-4158,0.944,1.343,Artificial Intelligence,2010
NETWORK-COMPUTATION IN NEURAL SYSTEMS,NETWORK-COMP NEURAL,0954-898X,0.957,1.667,Artificial Intelligence,2010
Journal of Real-Time Image Processing,J REAL-TIME IMAGE PR,1861-8200,0.962,Not Available,Artificial Intelligence,2010
ACM Transactions on Autonomous and Adaptive Systems,ACM T AUTON ADAP SYS,1556-4665,1.000,1.645,Artificial Intelligence,2010
Cognitive Systems Research,COGN SYST RES,1389-0417,1.000,1.073,Artificial Intelligence,2010
CONNECTION SCIENCE,CONNECT SCI,0954-0091,1.057,1.340,Artificial Intelligence,2010
JOURNAL OF INTELLIGENT MANUFACTURING,J INTELL MANUF,0956-5515,1.081,1.384,Artificial Intelligence,2010
NEURAL PROCESSING LETTERS,NEURAL PROCESS LETT,1370-4621,1.088,1.022,Artificial Intelligence,2010
International Journal on Document Analysis and Recognition,INT J DOC ANAL RECOG,1433-2833,1.091,Not Available,Artificial Intelligence,2010
PATTERN ANALYSIS AND APPLICATIONS,PATTERN ANAL APPL,1433-7541,1.097,1.269,Artificial Intelligence,2010
ADAPTIVE BEHAVIOR,ADAPT BEHAV,1059-7123,1.136,1.809,Artificial Intelligence,2010
Genetic Programming and Evolvable Machines,GENET PROGRAM EVOL M,1389-2576,1.167,Not Available,Artificial Intelligence,2010
PATTERN RECOGNITION LETTERS,PATTERN RECOGN LETT,0167-8655,1.235,1.897,Artificial Intelligence,2010
DATA MINING AND KNOWLEDGE DISCOVERY,DATA MIN KNOWL DISC,1384-5810,1.238,2.894,Artificial Intelligence,2010
KNOWLEDGE ENGINEERING REVIEW,KNOWL ENG REV,0269-8889,1.257,1.830,Artificial Intelligence,2010
JOURNAL OF MATHEMATICAL IMAGING AND VISION,J MATH IMAGING VIS,0924-9907,1.285,1.734,Artificial Intelligence,2010
ROBOTICS AND AUTONOMOUS SYSTEMS,ROBOT AUTON SYST,0921-8890,1.313,1.803,Artificial Intelligence,2010
INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,INT J INTELL SYST,0884-8173,1.331,1.256,Artificial Intelligence,2010
ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,ENG APPL ARTIF INTEL,0952-1976,1.352,1.604,Artificial Intelligence,2010
COMPUTER SPEECH AND LANGUAGE,COMPUT SPEECH LANG,0885-2308,1.353,1.489,Artificial Intelligence,2010
International Journal of Fuzzy Systems,INT J FUZZY SYST,1562-2479,1.362,Not Available,Artificial Intelligence,2010
JOURNAL OF CHEMOMETRICS,J CHEMOMETR,0886-9383,1.377,1.858,Artificial Intelligence,2010
ADVANCED ENGINEERING INFORMATICS,ADV ENG INFORM,1474-0346,1.400,1.909,Artificial Intelligence,2010
CONSTRAINTS,CONSTRAINTS,1383-7133,1.410,1.438,Artificial Intelligence,2010
NEUROCOMPUTING,NEUROCOMPUTING,0925-2312,1.442,1.441,Artificial Intelligence,2010
International Journal of Computational Intelligence Systems,INT J COMPUT INT SYS,1875-6883,1.471,1.471,Artificial Intelligence,2010
Journal of Ambient Intelligence and Smart Environments,J AMB INTEL SMART EN,1876-1364,1.500,1.500,Artificial Intelligence,2010
SOFT COMPUTING,SOFT COMPUT,1432-7643,1.512,1.350,Artificial Intelligence,2010
MACHINE VISION AND APPLICATIONS,MACH VISION APPL,0932-8092,1.549,1.691,Artificial Intelligence,2010
ARTIFICIAL INTELLIGENCE IN MEDICINE,ARTIF INTELL MED,0933-3657,1.568,1.898,Artificial Intelligence,2010
KNOWLEDGE-BASED SYSTEMS,KNOWL-BASED SYST,0950-7051,1.574,1.454,Artificial Intelligence,2010
IMAGE AND VISION COMPUTING,IMAGE VISION COMPUT,0262-8856,1.578,1.883,Artificial Intelligence,2010
