Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
HUMAN-COMPUTER INTERACTION,HUM-COMPUT INTERACT,0737-0024,1.950,Not Available,Cybernetics,2001
USER MODELING AND USER-ADAPTED INTERACTION,USER MODEL USER-ADAP,0924-1868,1.941,Not Available,Cybernetics,2001
PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,PRESENCE-TELEOP VIRT,1054-7460,1.544,Not Available,Cybernetics,2001
BIOLOGICAL CYBERNETICS,BIOL CYBERN,0340-1200,1.473,Not Available,Cybernetics,2001
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART B-CYBERNETICS,IEEE T SYST MAN CY B,1083-4419,0.789,Not Available,Cybernetics,2001
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART C-APPLICATIONS AND RE,IEEE T SYST MAN CY C,1094-6977,0.670,Not Available,Cybernetics,2001
BEHAVIOUR & INFORMATION TECHNOLOGY,BEHAV INFORM TECHNOL,0144-929X,0.603,Not Available,Cybernetics,2001
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART A-SYSTEMS AND HUMANS,IEEE T SYST MAN CY A,1083-4427,0.582,Not Available,Cybernetics,2001
INTERACTING WITH COMPUTERS,INTERACT COMPUT,0953-5438,0.561,Not Available,Cybernetics,2001
MODELING IDENTIFICATION AND CONTROL,MODEL IDENT CONTROL,0332-7353,0.500,Not Available,Cybernetics,2001
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,INT J HUM-COMPUT ST,1071-5819,0.471,Not Available,Cybernetics,2001
CYBERNETICS AND SYSTEMS,CYBERNET SYST,0196-9722,0.367,Not Available,Cybernetics,2001
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,INT J HUM-COMPUT INT,1044-7318,0.359,Not Available,Cybernetics,2001
KYBERNETIKA,KYBERNETIKA,0023-5954,0.316,Not Available,Cybernetics,2001
KYBERNETES,KYBERNETES,0368-492X,0.278,Not Available,Cybernetics,2001
MACHINE VISION AND APPLICATIONS,MACH VISION APPL,0932-8092,0.227,Not Available,Cybernetics,2001
CONTROL AND CYBERNETICS,CONTROL CYBERN,0324-8569,0.154,Not Available,Cybernetics,2001
JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,J COMPUT SYS SC INT+,1064-2307,0.008,Not Available,Cybernetics,2001
