Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
JOURNAL OF RESEARCH AND PRACTICE IN INFORMATION TECHNOLOGY,J RES PRACT INF TECH,1443-458X,0.105,0.260,Information Systems,2011
International Arab Journal of Information Technology,INT ARAB J INF TECHN,1683-3198,0.127,Not Available,Information Systems,2011
IET Information Security,IET INFORM SECUR,1751-8709,0.143,0.395,Information Systems,2011
JOURNAL OF INFORMATION SCIENCE AND ENGINEERING,J INF SCI ENG,1016-2364,0.175,0.273,Information Systems,2011
IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,IEICE T INF SYST,0916-8532,0.178,0.257,Information Systems,2011
International Journal of Distributed Sensor Networks,INT J DISTRIB SENS N,1550-1329,0.203,0.385,Information Systems,2011
International Journal of Network Management,INT J NETW MANAG,1055-7148,0.222,Not Available,Information Systems,2011
IEICE TRANSACTIONS ON FUNDAMENTALS OF ELECTRONICS COMMUNICATIONS AND COMPUTER SCIENCES,IEICE T FUND ELECTR,0916-8508,0.226,0.288,Information Systems,2011
Peer-to-Peer Networking and Applications,PEER PEER NETW APPL,1936-6442,0.229,0.500,Information Systems,2011
INFORMATION TECHNOLOGY AND LIBRARIES,INFORM TECHNOL LIBR,0730-9295,0.250,0.398,Information Systems,2011
Frontiers of Computer Science in China,FRONT COMPUT SCI CHI,1673-7350,0.266,Not Available,Information Systems,2011
PROGRAM-ELECTRONIC LIBRARY AND INFORMATION SYSTEMS,PROGRAM-ELECTRON LIB,0033-0337,0.283,0.425,Information Systems,2011
DISTRIBUTED AND PARALLEL DATABASES,DISTRIB PARALLEL DAT,0926-8782,0.286,0.684,Information Systems,2011
JOURNAL OF COMMUNICATIONS AND NETWORKS,J COMMUN NETW-S KOR,1229-2370,0.291,0.237,Information Systems,2011
INFOR,INFOR,0315-5986,0.295,0.596,Information Systems,2011
Journal of Zhejiang University-SCIENCE C-Computers & Electronics,J ZHEJIANG U-SCI C,1869-1951,0.308,0.308,Information Systems,2011
JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE,J ORG COMP ELECT COM,1091-9392,0.344,0.628,Information Systems,2011
IEEE Latin America Transactions,IEEE LAT AM T,1548-0992,0.346,Not Available,Information Systems,2011
International Journal of Web Services Research,INT J WEB SERV RES,1545-7362,0.371,0.688,Information Systems,2011
KSII Transactions on Internet and Information Systems,KSII T INTERNET INF,1976-7277,0.372,0.355,Information Systems,2011
Science China-Information Sciences,SCI CHINA INFORM SCI,1674-733X,0.388,0.387,Information Systems,2011
RAIRO-THEORETICAL INFORMATICS AND APPLICATIONS,RAIRO-THEOR INF APPL,0988-3754,0.397,0.347,Information Systems,2011
Ad Hoc & Sensor Wireless Networks,AD HOC SENS WIREL NE,1551-9899,0.400,Not Available,Information Systems,2011
Security and Communication Networks,SECUR COMMUN NETW,1939-0114,0.414,0.472,Information Systems,2011
International Journal of Information Security,INT J INF SECUR,1615-5262,0.421,Not Available,Information Systems,2011
IEEE MULTIMEDIA,IEEE MULTIMEDIA,1070-986X,0.438,0.994,Information Systems,2011
International Journal of Computers Communications & Control,INT J COMPUT COMMUN,1841-9836,0.438,Not Available,Information Systems,2011
ACTA INFORMATICA,ACTA INFORM,0001-5903,0.444,0.512,Information Systems,2011
Journal of Network and Systems Management,J NETW SYST MANAG,1064-7570,0.452,0.557,Information Systems,2011
INFORMATION PROCESSING LETTERS,INFORM PROCESS LETT,0020-0190,0.455,0.547,Information Systems,2011
PHOTONIC NETWORK COMMUNICATIONS,PHOTONIC NETW COMMUN,1387-974X,0.485,0.405,Information Systems,2011
