Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
JOURNAL OF MOLECULAR GRAPHICS & MODELLING,J MOL GRAPH MODEL,1093-3263,4.206,Not Available,Interdisciplinary Applications,1999
COMPUTER APPLICATIONS IN THE BIOSCIENCES,COMPUT APPL BIOSCI,0266-7061,2.924,Not Available,Interdisciplinary Applications,1999
JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN,J COMPUT AID MOL DES,0920-654X,2.500,Not Available,Interdisciplinary Applications,1999
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,J AM MED INFORM ASSN,1067-5027,2.363,Not Available,Interdisciplinary Applications,1999
BIOINFORMATICS,BIOINFORMATICS,1367-4803,2.259,Not Available,Interdisciplinary Applications,1999
JOURNAL OF CHEMICAL INFORMATION AND COMPUTER SCIENCES,J CHEM INF COMP SCI,0095-2338,2.066,Not Available,Interdisciplinary Applications,1999
INTERNATIONAL JOURNAL OF SUPERCOMPUTER APPLICATIONS AND HIGH PERFORMANCE CO,INT J SUPERCOMPUT AP,1078-3482,1.654,Not Available,Interdisciplinary Applications,1999
COMPUTER PHYSICS COMMUNICATIONS,COMPUT PHYS COMMUN,0010-4655,1.520,Not Available,Interdisciplinary Applications,1999
M D COMPUTING,M D COMPUT,0724-6811,1.377,Not Available,Interdisciplinary Applications,1999
JOURNAL OF COMPUTATIONAL PHYSICS,J COMPUT PHYS,0021-9991,1.310,Not Available,Interdisciplinary Applications,1999
JOURNAL OF MOLECULAR MODELING,J MOL MODEL,0948-5023,1.267,Not Available,Interdisciplinary Applications,1999
MEDICAL INFORMATICS AND THE INTERNET IN MEDICINE,MED INFORM INTERNET,1463-9238,1.155,Not Available,Interdisciplinary Applications,1999
MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,MED BIOL ENG COMPUT,0140-0118,1.004,Not Available,Interdisciplinary Applications,1999
COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,COMPUT METHOD APPL M,0045-7825,0.966,Not Available,Interdisciplinary Applications,1999
SCIENTOMETRICS,SCIENTOMETRICS,0138-9130,0.931,Not Available,Interdisciplinary Applications,1999
INTERNATIONAL JOURNAL OF MODERN PHYSICS C,INT J MOD PHYS C,0129-1831,0.898,Not Available,Interdisciplinary Applications,1999
COMPUTERS & CHEMISTRY,COMPUT CHEM,0097-8485,0.857,Not Available,Interdisciplinary Applications,1999
JOURNAL OF COMPLEXITY,J COMPLEXITY,0885-064X,0.796,Not Available,Interdisciplinary Applications,1999
COMPUTERS & FLUIDS,COMPUT FLUIDS,0045-7930,0.792,Not Available,Interdisciplinary Applications,1999
ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,ARCH COMPUT METHOD E,1134-3060,0.750,Not Available,Interdisciplinary Applications,1999
JOURNAL OF COMBINATORIAL OPTIMIZATION,J COMB OPTIM,1382-6905,0.750,Not Available,Interdisciplinary Applications,1999
COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,COMPUT METH PROG BIO,0169-2607,0.729,Not Available,Interdisciplinary Applications,1999
INTERNATIONAL JOURNAL OF MICROWAVE AND MILLIMETER-WAVE COMPUTER-AIDED ENGIN,INT J MICROWAVE MILL,1050-1827,0.722,Not Available,Interdisciplinary Applications,1999
COMPUTERS IN PHYSICS,COMPUT PHYS,0894-1866,0.623,Not Available,Interdisciplinary Applications,1999
COMPUTERS & CHEMICAL ENGINEERING,COMPUT CHEM ENG,0098-1354,0.562,Not Available,Interdisciplinary Applications,1999
ENGINEERING WITH COMPUTERS,ENG COMPUT,0177-0667,0.542,Not Available,Interdisciplinary Applications,1999
STRUCTURAL OPTIMIZATION,STRUCT OPTIMIZATION,0934-4373,0.535,Not Available,Interdisciplinary Applications,1999
COMPUTERS IN BIOLOGY AND MEDICINE,COMPUT BIOL MED,0010-4825,0.518,Not Available,Interdisciplinary Applications,1999
APPLICABLE ALGEBRA IN ENGINEERING COMMUNICATION AND COMPUTING,APPL ALGEBR ENG COMM,0938-1279,0.517,Not Available,Interdisciplinary Applications,1999
INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS,INT J NUMER METH FL,0271-2091,0.515,Not Available,Interdisciplinary Applications,1999
METHODS OF INFORMATION IN MEDICINE,METHOD INFORM MED,0026-1270,0.514,Not Available,Interdisciplinary Applications,1999
COMPUTATIONAL LINGUISTICS,COMPUT LINGUIST,0891-2017,0.500,Not Available,Interdisciplinary Applications,1999
QUEUEING SYSTEMS,QUEUEING SYST,0257-0130,0.495,Not Available,Interdisciplinary Applications,1999
INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,INT J COMP INTEG M,0951-192X,0.494,Not Available,Interdisciplinary Applications,1999
IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTE,IEEE T COMPUT AID D,0278-0070,0.490,Not Available,Interdisciplinary Applications,1999
SPEECH COMMUNICATION,SPEECH COMMUN,0167-6393,0.482,Not Available,Interdisciplinary Applications,1999
SIMULATION,SIMULATION,0037-5497,0.457,Not Available,Interdisciplinary Applications,1999
COMPUTERS AND BIOMEDICAL RESEARCH,COMPUT BIOMED RES,0010-4809,0.429,Not Available,Interdisciplinary Applications,1999
SOCIAL SCIENCE COMPUTER REVIEW,SOC SCI COMPUT REV,0894-4393,0.423,Not Available,Interdisciplinary Applications,1999
CONCURRENT ENGINEERING-RESEARCH AND APPLICATIONS,CONCURRENT ENG-RES A,1063-293X,0.418,Not Available,Interdisciplinary Applications,1999
JOURNAL OF COMPUTING IN CIVIL ENGINEERING,J COMPUT CIVIL ENG,0887-3801,0.414,Not Available,Interdisciplinary Applications,1999
ENGINEERING COMPUTATIONS,ENG COMPUTATION,0264-4401,0.407,Not Available,Interdisciplinary Applications,1999
MATCH-COMMUNICATIONS IN MATHEMATICAL AND IN COMPUTER CHEMISTRY,MATCH-COMMUN MATH CO,0340-6253,0.390,Not Available,Interdisciplinary Applications,1999
ADVANCES IN ENGINEERING SOFTWARE,ADV ENG SOFTW,0965-9978,0.388,Not Available,Interdisciplinary Applications,1999
COMPUTER MUSIC JOURNAL,COMPUT MUSIC J,0148-9267,0.385,Not Available,Interdisciplinary Applications,1999
COMPUTERS AND ELECTRONICS IN AGRICULTURE,COMPUT ELECTRON AGR,0168-1699,0.358,Not Available,Interdisciplinary Applications,1999
ENVIRONMENTAL MODELLING & SOFTWARE,ENVIRON MODELL SOFTW,1364-8152,0.349,Not Available,Interdisciplinary Applications,1999
COMPUTERS & STRUCTURES,COMPUT STRUCT,0045-7949,0.346,Not Available,Interdisciplinary Applications,1999
COMPUTERS & OPERATIONS RESEARCH,COMPUT OPER RES,0305-0548,0.317,Not Available,Interdisciplinary Applications,1999
COMPUTERS & MATHEMATICS WITH APPLICATIONS,COMPUT MATH APPL,0898-1221,0.314,Not Available,Interdisciplinary Applications,1999
MATHEMATICAL AND COMPUTER MODELLING,MATH COMPUT MODEL,0895-7177,0.303,Not Available,Interdisciplinary Applications,1999
COMPUTERS AND THE HUMANITIES,COMPUT HUMANITIES,0010-4817,0.298,Not Available,Interdisciplinary Applications,1999
COMPUTATIONAL STATISTICS & DATA ANALYSIS,COMPUT STAT DATA AN,0167-9473,0.295,Not Available,Interdisciplinary Applications,1999
COMPUTERS & EDUCATION,COMPUT EDUC,0360-1315,0.289,Not Available,Interdisciplinary Applications,1999
MATHEMATICS AND COMPUTERS IN SIMULATION,MATH COMPUT SIMULAT,0378-4754,0.281,Not Available,Interdisciplinary Applications,1999
COMPUTERS AND GEOTECHNICS,COMPUT GEOTECH,0266-352X,0.270,Not Available,Interdisciplinary Applications,1999
COMPUTERS IN INDUSTRY,COMPUT IND,0166-3615,0.246,Not Available,Interdisciplinary Applications,1999
IEEE COMPUTER APPLICATIONS IN POWER,IEEE COMPUT APPL POW,0895-0156,0.224,Not Available,Interdisciplinary Applications,1999
INTERNATIONAL JOURNAL OF RF AND MICROWAVE COMPUTER-AIDED ENGINEERING,INT J RF MICROW C E,1096-4290,0.209,Not Available,Interdisciplinary Applications,1999
INTEGRATED COMPUTER-AIDED ENGINEERING,INTEGR COMPUT-AID E,1069-2509,0.205,Not Available,Interdisciplinary Applications,1999
JOURNAL OF NEW MUSIC RESEARCH,J NEW MUSIC RES,0929-8215,0.194,Not Available,Interdisciplinary Applications,1999
JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,J NETW COMPUT APPL,1084-8045,0.186,Not Available,Interdisciplinary Applications,1999
TRANSACTIONS OF THE SOCIETY FOR COMPUTER SIMULATION INTERNATIONAL,T SOC COMPUT SIMUL I,0740-6797,0.162,Not Available,Interdisciplinary Applications,1999
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFAC,AI EDAM,0890-0604,0.157,Not Available,Interdisciplinary Applications,1999
ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,ROBOT CIM-INT MANUF,0736-5845,0.156,Not Available,Interdisciplinary Applications,1999
COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,COMPUT APPL ENG EDUC,1061-3773,0.138,Not Available,Interdisciplinary Applications,1999
COMPUTER INTEGRATED MANUFACTURING SYSTEMS,COMPUT INTEGR MANUF,0951-5240,0.115,Not Available,Interdisciplinary Applications,1999
INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS,INT J HIGH PERFORM C,1094-3420,0.111,Not Available,Interdisciplinary Applications,1999
COMPUTERS & GEOSCIENCES,COMPUT GEOSCI,0098-3004,0.103,Not Available,Interdisciplinary Applications,1999
COMPUTERS & INDUSTRIAL ENGINEERING,COMPUT IND ENG,0360-8352,0.093,Not Available,Interdisciplinary Applications,1999
COMPUTERS & ELECTRICAL ENGINEERING,COMPUT ELECTR ENG,0045-7906,0.069,Not Available,Interdisciplinary Applications,1999
INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS IN TECHNOLOGY,INT J COMPUT APPL T,0952-8091,0.068,Not Available,Interdisciplinary Applications,1999
COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRI,COMPEL,0332-1649,0.056,Not Available,Interdisciplinary Applications,1999
INDUSTRIAL MANAGEMENT & DATA SYSTEMS,IND MANAGE DATA SYST,0263-5577,0.024,Not Available,Interdisciplinary Applications,1999
BIOTECHNOLOGY SOFTWARE & INTERNET JOURNAL,BIOTECHNOL SOFTW I J,1088-4270,0.000,Not Available,Interdisciplinary Applications,1999
COMPUTING IN SCIENCE & ENGINEERING,COMPUT SCI ENG,1521-9615,Not Available,Not Available,Interdisciplinary Applications,1999
