Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
COMPUTER GRAPHICS WORLD,COMPUT GRAPH WORLD,0271-4159,0.016,0.012,Software Engineering,2007
DR DOBBS JOURNAL,DR DOBBS J,1044-789X,0.048,0.040,Software Engineering,2007
ACM SIGPLAN NOTICES,ACM SIGPLAN NOTICES,0362-1340,0.108,0.163,Software Engineering,2007
DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,DES AUTOM EMBED SYST,0929-5585,0.167,0.439,Software Engineering,2007
PROGRAMMING AND COMPUTER SOFTWARE,PROGRAM COMPUT SOFT+,0361-7688,0.200,0.200,Software Engineering,2007
ADVANCES IN COMPUTERS,ADV COMPUT,0065-2458,0.231,0.424,Software Engineering,2007
INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,INT J SOFTW ENG KNOW,0218-1940,0.239,0.347,Software Engineering,2007
IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,IEICE T INF SYST,0916-8532,0.245,0.265,Software Engineering,2007
International Journal of Wavelets Multiresolution and Information Processing,INT J WAVELETS MULTI,0219-6913,0.300,Not Available,Software Engineering,2007
WORLD WIDE WEB-INTERNET AND WEB INFORMATION SYSTEMS,WORLD WIDE WEB,1386-145X,0.300,Not Available,Software Engineering,2007
JOURNAL OF UNIVERSAL COMPUTER SCIENCE,J UNIVERS COMPUT SCI,0948-695X,0.315,0.414,Software Engineering,2007
JOURNAL OF RESEARCH AND PRACTICE IN INFORMATION TECHNOLOGY,J RES PRACT INF TECH,1443-458X,0.348,0.484,Software Engineering,2007
SIMULATION MODELLING PRACTICE AND THEORY,SIMUL MODEL PRACT TH,1569-190X,0.375,0.467,Software Engineering,2007
IEE PROCEEDINGS-SOFTWARE,IEE P-SOFTW,1462-5970,0.400,0.654,Software Engineering,2007
SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL,SIMUL-T SOC MOD SIM,0037-5497,0.404,0.500,Software Engineering,2007
COMPUTER LANGUAGES SYSTEMS & STRUCTURES,COMPUT LANG SYST STR,1477-8424,0.429,0.449,Software Engineering,2007
JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY,J COMPUT SCI TECHNOL,1000-9000,0.441,0.425,Software Engineering,2007
MULTIMEDIA TOOLS AND APPLICATIONS,MULTIMED TOOLS APPL,1380-7501,0.458,0.496,Software Engineering,2007
COMPUTER STANDARDS & INTERFACES,COMPUT STAND INTER,0920-5489,0.509,0.649,Software Engineering,2007
COMPUTERS & GRAPHICS-UK,COMPUT GRAPH-UK,0097-8493,0.523,0.662,Software Engineering,2007
MATHEMATICAL AND COMPUTER MODELLING,MATH COMPUT MODEL,0895-7177,0.527,0.638,Software Engineering,2007
ADVANCES IN ENGINEERING SOFTWARE,ADV ENG SOFTW,0965-9978,0.529,0.600,Software Engineering,2007
ICGA JOURNAL,ICGA J,1389-6911,0.533,0.506,Software Engineering,2007
SOFTWARE-PRACTICE & EXPERIENCE,SOFTWARE PRACT EXPER,0038-0644,0.542,0.726,Software Engineering,2007
SOFTWARE QUALITY JOURNAL,SOFTWARE QUAL J,0963-9314,0.543,0.753,Software Engineering,2007
COMPUTER ANIMATION AND VIRTUAL WORLDS,COMPUT ANIMAT VIRT W,1546-4261,0.547,0.813,Software Engineering,2007
OPTIMIZATION METHODS & SOFTWARE,OPTIM METHOD SOFTW,1055-6788,0.554,0.896,Software Engineering,2007
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ACM T DES AUTOMAT EL,1084-4309,0.573,0.761,Software Engineering,2007
INFORMATION AND SOFTWARE TECHNOLOGY,INFORM SOFTWARE TECH,0950-5849,0.581,0.623,Software Engineering,2007
