Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
JOURNAL OF THE ACM,J ACM,0004-5411,1.355,Not Available,Software Graphics & Programming,1997
COMMUNICATIONS OF THE ACM,COMMUN ACM,0001-0782,1.293,Not Available,Software Graphics & Programming,1997
MATHEMATICAL PROGRAMMING,MATH PROGRAM,0025-5610,1.077,Not Available,Software Graphics & Programming,1997
IEEE TRANSACTIONS ON IMAGE PROCESSING,IEEE T IMAGE PROCESS,1057-7149,1.063,Not Available,Software Graphics & Programming,1997
IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,IEEE T SOFTWARE ENG,0098-5589,1.044,Not Available,Software Graphics & Programming,1997
IEEE MICRO,IEEE MICRO,0272-1732,0.992,Not Available,Software Graphics & Programming,1997
PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,PRESENCE-TELEOP VIRT,1054-7460,0.950,Not Available,Software Graphics & Programming,1997
COMPUTER VISION AND IMAGE UNDERSTANDING,COMPUT VIS IMAGE UND,1077-3142,0.857,Not Available,Software Graphics & Programming,1997
ACM TRANSACTIONS ON GRAPHICS,ACM T GRAPHIC,0730-0301,0.828,Not Available,Software Graphics & Programming,1997
COMPUTER-AIDED DESIGN,COMPUT AIDED DESIGN,0010-4485,0.770,Not Available,Software Graphics & Programming,1997
IEEE SOFTWARE,IEEE SOFTWARE,0740-7459,0.768,Not Available,Software Graphics & Programming,1997
IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,IEEE T VIS COMPUT GR,1077-2626,0.741,Not Available,Software Graphics & Programming,1997
IEEE COMPUTER GRAPHICS AND APPLICATIONS,IEEE COMPUT GRAPH,0272-1716,0.708,Not Available,Software Graphics & Programming,1997
COMPUTER AIDED GEOMETRIC DESIGN,COMPUT AIDED GEOM D,0167-8396,0.650,Not Available,Software Graphics & Programming,1997
IMAGE AND VISION COMPUTING,IMAGE VISION COMPUT,0262-8856,0.616,Not Available,Software Graphics & Programming,1997
COMPUTER,COMPUTER,0018-9162,0.608,Not Available,Software Graphics & Programming,1997
