Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS,INT J HIGH PERFORM C,1094-3420,Not Available,Not Available,Theory & Methods,1998
IEEE PARALLEL & DISTRIBUTED TECHNOLOGY,IEEE PARALL DISTRIB,1063-6552,1.727,Not Available,Theory & Methods,1998
JOURNAL OF THE ACM,J ACM,0004-5411,1.703,Not Available,Theory & Methods,1998
COMMUNICATIONS OF THE ACM,COMMUN ACM,0001-0782,1.698,Not Available,Theory & Methods,1998
IEEE TRANSACTIONS ON IMAGE PROCESSING,IEEE T IMAGE PROCESS,1057-7149,1.364,Not Available,Theory & Methods,1998
IEEE TRANSACTIONS ON NEURAL NETWORKS,IEEE T NEURAL NETWOR,1045-9227,1.280,Not Available,Theory & Methods,1998
SIAM JOURNAL ON COMPUTING,SIAM J COMPUT,0097-5397,0.958,Not Available,Theory & Methods,1998
IEEE MULTIMEDIA,IEEE MULTIMEDIA,1070-986X,0.950,Not Available,Theory & Methods,1998
MULTIMEDIA SYSTEMS,MULTIMEDIA SYST,0942-4962,0.767,Not Available,Theory & Methods,1998
IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,IEEE T PARALL DISTR,1045-9219,0.766,Not Available,Theory & Methods,1998
HUMAN-COMPUTER INTERACTION,HUM-COMPUT INTERACT,0737-0024,0.760,Not Available,Theory & Methods,1998
PERFORMANCE EVALUATION,PERFORM EVALUATION,0166-5316,0.718,Not Available,Theory & Methods,1998
IBM SYSTEMS JOURNAL,IBM SYST J,0018-8670,0.710,Not Available,Theory & Methods,1998
JOURNAL OF LOGIC PROGRAMMING,J LOGIC PROGRAM,0743-1066,0.675,Not Available,Theory & Methods,1998
FORMAL METHODS IN SYSTEM DESIGN,FORM METHOD SYST DES,0925-9856,0.667,Not Available,Theory & Methods,1998
OBJECT ORIENTED SYSTEMS,OBJECT ORIENTED SYST,0969-9767,0.667,Not Available,Theory & Methods,1998
STATISTICS AND COMPUTING,STAT COMPUT,0960-3174,0.667,Not Available,Theory & Methods,1998
COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,COMPUT METH PROG BIO,0169-2607,0.664,Not Available,Theory & Methods,1998
JOURNAL OF ALGORITHMS,J ALGORITHM,0196-6774,0.631,Not Available,Theory & Methods,1998
REAL-TIME SYSTEMS,REAL-TIME SYST,0922-6443,0.578,Not Available,Theory & Methods,1998
JOURNAL OF COMPUTER AND SYSTEM SCIENCES,J COMPUT SYST SCI,0022-0000,0.577,Not Available,Theory & Methods,1998
JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING,J PARALLEL DISTR COM,0743-7315,0.576,Not Available,Theory & Methods,1998
IEEE CONCURRENCY,IEEE CONCURR,1092-3063,0.560,Not Available,Theory & Methods,1998
COMPUTING,COMPUTING,0010-485X,0.543,Not Available,Theory & Methods,1998
JOURNAL OF SYMBOLIC COMPUTATION,J SYMB COMPUT,0747-7171,0.539,Not Available,Theory & Methods,1998
DISTRIBUTED COMPUTING,DISTRIB COMPUT,0178-2770,0.522,Not Available,Theory & Methods,1998
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART A-SYSTEMS AND HUMANS,IEEE T SYST MAN CY A,1083-4427,0.494,Not Available,Theory & Methods,1998
PARALLEL COMPUTING,PARALLEL COMPUT,0167-8191,0.493,Not Available,Theory & Methods,1998
ACM COMPUTING SURVEYS,ACM COMPUT SURV,0360-0300,0.484,Not Available,Theory & Methods,1998
DISCRETE & COMPUTATIONAL GEOMETRY,DISCRETE COMPUT GEOM,0179-5376,0.475,Not Available,Theory & Methods,1998
REAL-TIME IMAGING,REAL-TIME IMAGING,1077-2014,0.452,Not Available,Theory & Methods,1998
SOFTWARE-CONCEPTS AND TOOLS,SOFTWARE-CONC TOOL,0945-8115,0.452,Not Available,Theory & Methods,1998
ACM TRANSACTIONS ON COMPUTER SYSTEMS,ACM T COMPUT SYST,0734-2071,0.444,Not Available,Theory & Methods,1998
JOURNAL OF SUPERCOMPUTING,J SUPERCOMPUT,0920-8542,0.441,Not Available,Theory & Methods,1998
IMAGE AND VISION COMPUTING,IMAGE VISION COMPUT,0262-8856,0.431,Not Available,Theory & Methods,1998
IEEE COMPUTATIONAL SCIENCE & ENGINEERING,IEEE COMPUT SCI ENG,1070-9924,0.414,Not Available,Theory & Methods,1998
INTERNATIONAL JOURNAL OF BIO-MEDICAL COMPUTING,INT J BIOMED COMPUT,0020-7101,0.403,Not Available,Theory & Methods,1998
JOURNAL OF LOGIC AND COMPUTATION,J LOGIC COMPUT,0955-792X,0.394,Not Available,Theory & Methods,1998
THEORETICAL COMPUTER SCIENCE,THEOR COMPUT SCI,0304-3975,0.349,Not Available,Theory & Methods,1998
FUZZY SETS AND SYSTEMS,FUZZY SET SYST,0165-0114,0.331,Not Available,Theory & Methods,1998
COMPUTING SYSTEMS,COMPUT SYST,0895-6340,0.312,Not Available,Theory & Methods,1998
MATHEMATICAL SYSTEMS THEORY,MATH SYST THEORY,0025-5661,0.306,Not Available,Theory & Methods,1998
INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,INT J SYST SCI,0020-7721,0.303,Not Available,Theory & Methods,1998
JOURNAL OF CRYPTOLOGY,J CRYPTOL,0933-2790,0.300,Not Available,Theory & Methods,1998
INTERNATIONAL JOURNAL OF COMPUTATIONAL GEOMETRY & APPLICATIONS,INT J COMPUT GEOM AP,0218-1959,0.270,Not Available,Theory & Methods,1998
MULTIMEDIA TOOLS AND APPLICATIONS,MULTIMED TOOLS APPL,1380-7501,0.268,Not Available,Theory & Methods,1998
INTERNATIONAL JOURNAL OF PARALLEL PROGRAMMING,INT J PARALLEL PROG,0885-7458,0.263,Not Available,Theory & Methods,1998
DISTRIBUTED AND PARALLEL DATABASES,DISTRIB PARALLEL DAT,0926-8782,0.231,Not Available,Theory & Methods,1998
NEW GENERATION COMPUTING,NEW GENERAT COMPUT,0288-3635,0.188,Not Available,Theory & Methods,1998
APPLICABLE ALGEBRA IN ENGINEERING COMMUNICATION AND COMPUTING,APPL ALGEBR ENG COMM,0938-1279,0.187,Not Available,Theory & Methods,1998
JOURNAL OF SYSTEMS AND SOFTWARE,J SYST SOFTWARE,0164-1212,0.184,Not Available,Theory & Methods,1998
IEE PROCEEDINGS-COMPUTERS AND DIGITAL TECHNIQUES,IEE P-COMPUT DIG T,1350-2387,0.181,Not Available,Theory & Methods,1998
INTERNATIONAL JOURNAL OF GENERAL SYSTEMS,INT J GEN SYST,0308-1079,0.175,Not Available,Theory & Methods,1998
INTERNATIONAL JOURNAL OF HIGH SPEED COMPUTING,INT J HIGH SPEED COM,0129-0533,0.154,Not Available,Theory & Methods,1998
SUPERCOMPUTER,SUPERCOMPUTER,0168-7875,0.154,Not Available,Theory & Methods,1998
MULTIDIMENSIONAL SYSTEMS AND SIGNAL PROCESSING,MULTIDIM SYST SIGN P,0923-6082,0.135,Not Available,Theory & Methods,1998
THEORY OF COMPUTING SYSTEMS,THEOR COMPUT SYST,1432-4350,0.125,Not Available,Theory & Methods,1998
JOURNAL OF OBJECT-ORIENTED PROGRAMMING,J OBJECT-ORIENT PROG,0896-8438,0.115,Not Available,Theory & Methods,1998
COMPUTER SYSTEMS SCIENCE AND ENGINEERING,COMPUT SYST SCI ENG,0267-6192,0.091,Not Available,Theory & Methods,1998
MICROPROCESSORS AND MICROSYSTEMS,MICROPROCESS MICROSY,0141-9331,0.080,Not Available,Theory & Methods,1998
EXPERT SYSTEMS,EXPERT SYST,0266-4720,0.039,Not Available,Theory & Methods,1998
FUTURE GENERATION COMPUTER SYSTEMS,FUTURE GENER COMP SY,0167-739X,0.019,Not Available,Theory & Methods,1998
COMPUTATIONAL COMPLEXITY,COMPUT COMPLEX,1016-3328,0.000,Not Available,Theory & Methods,1998
JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,J COMPUT SYS SC INT+,1064-2307,0.000,Not Available,Theory & Methods,1998
