Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
Bolema-Mathematics Education Bulletin-Boletim de Educacao Matematica,BOLEMA-MATH EDUC BUL,0103-636X,0.000,Not Available,Education & Educational Research,2011
RUSSIAN EDUCATION AND SOCIETY,RUSS EDUC SOC,1060-9393,0.008,0.003,Education & Educational Research,2011
Australian Journal of Adult Learning,AUST J ADULT LEARN,1443-1394,0.020,Not Available,Education & Educational Research,2011
Porta Linguarum,PORTA LINGUARUM,1697-7467,0.062,Not Available,Education & Educational Research,2011
English in Education,ENGL EDUC-UK,0425-0494,0.074,Not Available,Education & Educational Research,2011
New Educational Review,NEW EDUC REV,1732-6729,0.075,Not Available,Education & Educational Research,2011
English in Australia,ENGL AUST,0046-208X,0.079,Not Available,Education & Educational Research,2011
Education as Change,EDUC CHANGE,1682-3206,0.082,Not Available,Education & Educational Research,2011
Educacion XX1,EDUC XX1,1139-613X,0.103,Not Available,Education & Educational Research,2011
Curriculum Matters,CURRIC MATTERS,1177-1828,0.133,Not Available,Education & Educational Research,2011
Australasian Journal of Early Childhood,AUST J EARLY CHILD,0312-5033,0.140,Not Available,Education & Educational Research,2011
ESE-Estudios Sobre Educacion,ESE-ESTUD SOBRE EDUC,1578-7001,0.140,Not Available,Education & Educational Research,2011
Movimento,MOVIMENTO-PORTO ALEG,0104-754X,0.157,Not Available,Education & Educational Research,2011
Language Culture and Curriculum,LANG CULT CURRIC,0790-8318,0.167,Not Available,Education & Educational Research,2011
Revista Latinoamericana de Investigacion en Matematica Educativa-RELIME,REV LAT AM INV MAT E,1665-2436,0.167,Not Available,Education & Educational Research,2011
PHI DELTA KAPPAN,PHI DELTA KAPPAN,0031-7217,0.172,0.165,Education & Educational Research,2011
KEDI Journal of Educational Policy,KEDI J EDUC POLICY,1739-4341,0.182,Not Available,Education & Educational Research,2011
Ensenanza de Las Ciencias,ENSEN CIENC,0212-4521,0.188,Not Available,Education & Educational Research,2011
ADULT EDUCATION QUARTERLY,ADULT EDUC QUART,0741-7136,0.189,0.616,Education & Educational Research,2011
Cadmo,CADMO,1122-5165,0.192,Not Available,Education & Educational Research,2011
Pedagogische Studien,PEDAGOG STUD,0165-0645,0.200,Not Available,Education & Educational Research,2011
Journal of Beliefs & Values-Studies in Religion & Education,J BELIEFS VALUES,1361-7672,0.211,Not Available,Education & Educational Research,2011
Australian Journal of Guidance and Counselling,AUST J GUID COUNS,1037-2911,0.212,Not Available,Education & Educational Research,2011
English Teaching-Practice and Critique,ENGL TEACH-PRACT CRI,1175-8708,0.216,Not Available,Education & Educational Research,2011
Egitim Arastirmalari-Eurasian Journal of Educational Research,EGIT ARAST,1302-597X,0.218,Not Available,Education & Educational Research,2011
INTERNATIONAL JOURNAL OF ART & DESIGN EDUCATION,INT J ART DES EDUC,1476-8062,0.218,0.317,Education & Educational Research,2011
Odgojne Znanosti-Educational Sciences,ODGOJNE ZNAN,1846-1204,0.220,0.133,Education & Educational Research,2011
EDUCATIONAL LEADERSHIP,EDUC LEADERSHIP,0013-1784,0.231,0.241,Education & Educational Research,2011
Hacettepe Universitesi Egitim Fakultesi Dergisi-Hacettepe University Journal of Education,HACET U EGITIM FAK,1300-5340,0.232,Not Available,Education & Educational Research,2011
JOURNAL OF ECONOMIC EDUCATION,J ECON EDUC,0022-0485,0.250,0.375,Education & Educational Research,2011
Scandinavian Journal of Educational Research,SCAND J EDUC RES,0031-3831,0.268,Not Available,Education & Educational Research,2011
Cultura y Educacion,CULT EDUC,1135-6405,0.274,Not Available,Education & Educational Research,2011
Zeitschrift fur Soziologie der Erziehung und Sozialisation,Z SOZIOL ERZIEH SOZI,1436-1957,0.283,0.252,Education & Educational Research,2011
AUSTRALIAN EDUCATIONAL RESEARCHER,AUST EDUC RES,0311-6999,0.286,0.519,Education & Educational Research,2011
British Journal of Music Education,BRIT J MUSIC EDUC,0265-0517,0.286,Not Available,Education & Educational Research,2011
Journal of Language Identity and Education,J LANG IDENTITY EDUC,1534-8458,0.289,Not Available,Education & Educational Research,2011
