Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
INTERNATIONAL JOURNAL OF ELECTRICAL ENGINEERING EDUCATION,INT J ELEC ENG EDUC,0020-7209,0.118,0.200,Scientific Disciplines,2008
JOURNAL OF PROFESSIONAL ISSUES IN ENGINEERING EDUCATION AND PRACTICE,J PROF ISS ENG ED PR,1052-3928,0.161,0.361,Scientific Disciplines,2008
AMERICAN BIOLOGY TEACHER,AM BIOL TEACH,0002-7685,0.308,0.346,Scientific Disciplines,2008
COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,COMPUT APPL ENG EDUC,1061-3773,0.388,0.391,Scientific Disciplines,2008
JOURNAL OF BIOLOGICAL EDUCATION,J BIOL EDUC,0021-9266,0.400,0.556,Scientific Disciplines,2008
INTERNATIONAL JOURNAL OF TECHNOLOGY AND DESIGN EDUCATION,INT J TECHNOL DES ED,0957-7572,0.429,0.571,Scientific Disciplines,2008
JOURNAL OF CHEMICAL EDUCATION,J CHEM EDUC,0021-9584,0.538,0.647,Scientific Disciplines,2008
INTERNATIONAL JOURNAL OF ENGINEERING EDUCATION,INT J ENG EDUC,0949-149X,0.552,0.662,Scientific Disciplines,2008
EUROPEAN JOURNAL OF PHYSICS,EUR J PHYS,0143-0807,0.625,0.601,Scientific Disciplines,2008
BIOCHEMISTRY AND MOLECULAR BIOLOGY EDUCATION,BIOCHEM MOL BIOL EDU,1470-8175,0.635,0.580,Scientific Disciplines,2008
TEACHING AND LEARNING IN MEDICINE,TEACH LEARN MED,1040-1334,0.731,0.993,Scientific Disciplines,2008
AMERICAN JOURNAL OF PHYSICS,AM J PHYS,0002-9505,0.831,0.977,Scientific Disciplines,2008
AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION,AM J PHARM EDUC,0002-9459,0.936,0.882,Scientific Disciplines,2008
JOURNAL OF ENGINEERING EDUCATION,J ENG EDUC,1069-4730,1.093,Not Available,Scientific Disciplines,2008
MEDICAL TEACHER,MED TEACH,0142-159X,1.121,1.396,Scientific Disciplines,2008
ADVANCES IN HEALTH SCIENCES EDUCATION,ADV HEALTH SCI EDUC,1382-4996,1.254,1.545,Scientific Disciplines,2008
JOURNAL OF SCHOOL HEALTH,J SCHOOL HEALTH,0022-4391,1.273,1.576,Scientific Disciplines,2008
IEEE TRANSACTIONS ON EDUCATION,IEEE T EDUC,0018-9359,1.400,1.417,Scientific Disciplines,2008
JOURNAL OF CONTINUING EDUCATION IN THE HEALTH PROFESSIONS,J CONTIN EDUC HEALTH,0894-1912,1.468,Not Available,Scientific Disciplines,2008
ADVANCES IN PHYSIOLOGY EDUCATION,ADV PHYSIOL EDUC,1043-4046,1.483,1.723,Scientific Disciplines,2008
JOURNAL OF NUTRITION EDUCATION AND BEHAVIOR,J NUTR EDUC BEHAV,1499-4046,1.743,1.955,Scientific Disciplines,2008
Physical Review Special Topics-Physics Education Research,PHYS REV SPEC TOP-PH,1554-9178,1.781,1.892,Scientific Disciplines,2008
ACADEMIC MEDICINE,ACAD MED,1040-2446,1.867,2.337,Scientific Disciplines,2008
MEDICAL EDUCATION,MED EDUC,0308-0110,2.181,2.707,Scientific Disciplines,2008
