Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
AMERICAN JOURNAL ON MENTAL RETARDATION,AM J MENT RETARD,0895-8017,1.871,Not Available,Special Education,1999
MENTAL RETARDATION,MENT RETARD,0047-6765,1.271,Not Available,Special Education,1999
JOURNAL OF LEARNING DISABILITIES,J LEARN DISABIL,0022-2194,1.153,Not Available,Special Education,1999
EXCEPTIONAL CHILDREN,EXCEPT CHILDREN,0014-4029,1.120,Not Available,Special Education,1999
JOURNAL OF FLUENCY DISORDERS,J FLUENCY DISORD,0094-730X,0.957,Not Available,Special Education,1999
JOURNAL OF SPECIAL EDUCATION,J SPEC EDUC,0022-4669,0.846,Not Available,Special Education,1999
JOURNAL OF INTELLECTUAL DISABILITY RESEARCH,J INTELL DISABIL RES,0964-2633,0.811,Not Available,Special Education,1999
TOPICS IN EARLY CHILDHOOD SPECIAL EDUCATION,TOP EARLY CHILD SPEC,0271-1214,0.810,Not Available,Special Education,1999
ANNALS OF DYSLEXIA,ANN DYSLEXIA,0736-9387,0.741,Not Available,Special Education,1999
LEARNING DISABILITY QUARTERLY,LEARN DISABILITY Q,0731-9487,0.585,Not Available,Special Education,1999
GIFTED CHILD QUARTERLY,GIFTED CHILD QUART,0016-9862,0.575,Not Available,Special Education,1999
REMEDIAL AND SPECIAL EDUCATION,REM SPEC EDUC,0741-9325,0.538,Not Available,Special Education,1999
JOURNAL OF EARLY INTERVENTION,J EARLY INTERVENTION,1053-8151,0.533,Not Available,Special Education,1999
INFANTS AND YOUNG CHILDREN,INFANT YOUNG CHILD,0896-3746,0.448,Not Available,Special Education,1999
JOURNAL FOR THE EDUCATION OF THE GIFTED,J EDUC GIFTED,0162-3532,0.394,Not Available,Special Education,1999
EDUCATION AND TRAINING IN MENTAL RETARDATION AND DEVELOPMENTAL DISABILITIES,EDUC TRAIN MENT RET,0013-1237,0.343,Not Available,Special Education,1999
INTERVENTION IN SCHOOL AND CLINIC,INTERV SCH CLIN,1053-4512,0.225,Not Available,Special Education,1999
AMERICAN ANNALS OF THE DEAF,AM ANN DEAF,0002-726X,0.205,Not Available,Special Education,1999
BRITISH JOURNAL OF DEVELOPMENTAL DISABILITIES,BRIT J DEV DISABIL,0969-7950,0.200,Not Available,Special Education,1999
DEAFNESS AND EDUCATION,DEAF EDUC,1366-4379,0.031,Not Available,Special Education,1999
